Unix Time, Vive Time,Left Pos x, Left Pos y, Right Pos x, Right Pos y, Eye Position
1683443983140319,3540120,0.3003164,0.7762715,0.3545721,0.5283363,OK
1683443983148830,3540129,0.299843,0.7641894,0.3585276,0.5233634,OK
1683443983156914,3540137,0.2993696,0.7533286,0.3589728,0.5261299,OK
1683443983165422,3540145,0.2987507,0.758194,0.3597485,0.5276234,OK
1683443983172927,3540154,0.2981319,0.7630596,0.3603804,0.5271826,OK
1683443983181931,3540162,0.2979281,0.759945,0.3602158,0.5256681,OK
1683443983190109,3540170,0.2977243,0.7630596,0.3609338,0.5262623,OK
1683443983198615,3540179,0.2979281,0.759945,0.3611133,0.5272004,OK
1683443983207123,3540187,0.2977243,0.7630596,0.3612629,0.5268345,OK
1683443983215632,3540195,0.2974245,0.759945,0.3611133,0.5266019,OK
1683443983223249,3540204,0.2977243,0.7630596,0.3612629,0.5267993,OK
1683443983232139,3540212,0.2979281,0.7645531,0.3620062,0.5271227,OK
1683443983240348,3540220,0.2960629,0.7632334,0.3627539,0.5286435,OK
1683443983248860,3540229,0.2971943,0.7617782,0.3631072,0.5306301,OK
1683443983256354,3540237,0.2981245,0.7681248,0.3640471,0.5283232,OK
1683443983265861,3540245,0.2965172,0.7697174,0.3646255,0.5298686,OK
1683443983273893,3540254,0.3041292,0.7658688,0.3641489,0.531122,OK
1683443983281893,3540262,0.3009353,0.7725223,0.363851,0.5324799,OK
1683443983290403,3540270,0.3043314,0.7729271,0.3646802,0.5327411,OK
1683443983298914,3540279,0.3048195,0.7724713,0.3632396,0.5330735,OK
1683443983306984,3540287,0.3053076,0.7720155,0.3655416,0.5333583,OK
1683443983315494,3540295,0.3049062,0.7714891,0.3672868,0.5360408,OK
1683443983322994,3540304,0.3053076,0.7720155,0.3666732,0.5350593,OK
1683443983331997,3540312,0.3098674,0.7723426,0.3689965,0.5357304,OK
1683443983340504,3540320,0.3098029,0.7686996,0.3696579,0.5343611,OK
1683443983348015,3540329,0.3114616,0.7735623,0.3709452,0.5361916,OK
1683443983356521,3540337,0.3094539,0.7723543,0.3716121,0.5358459,OK
1683443983365029,3540345,0.3102051,0.7702283,0.3728623,0.5366003,OK
1683443983374069,3540354,0.312539,0.7596568,0.3761204,0.534723,OK
1683443983381069,3540362,0.3184668,0.7712151,0.3767986,0.5342857,OK
1683443983389575,3540370,0.3133143,0.768481,0.3774301,0.5364981,OK
1683443983399083,3540379,0.3233298,0.7720925,0.3754902,0.5399812,OK
1683443983406593,3540387,0.3084893,0.7859913,0.3633799,0.5487416,OK
1683443983415099,3540395,0.2793537,0.8373556,0.3430097,0.5674058,OK
1683443983423601,3540404,0.2626565,0.8430116,0.3260462,0.5886273,OK
1683443983431606,3540412,0.2518449,0.8485963,0.3103091,0.6056259,OK
1683443983440648,3540420,0.2494078,0.8563671,0.3039788,0.6201166,OK
1683443983448141,3540429,0.2350518,0.86452,0.301552,0.6275513,OK
1683443983456647,3540437,0.2335005,0.890252,0.3077824,0.6295779,OK
1683443983465152,3540445,0.2552435,0.8628944,0.3120974,0.6255681,OK
1683443983473654,3540454,0.2578317,0.8575854,0.3182573,0.6195742,OK
1683443983481661,3540462,0.2551331,0.8654951,0.3166249,0.6164401,OK
1683443983490172,3540470,0.2571156,0.8460703,0.3270129,0.6117421,OK
1683443983498684,3540479,0.2737725,0.8527788,0.329157,0.6142598,OK
1683443983507188,3540487,0.2728862,0.8551985,0.3334247,0.6031063,OK
1683443983515693,3540495,0.2839803,0.8455052,0.3437587,0.5932392,OK
1683443983523194,3540504,0.2855036,0.8411204,0.3486958,0.5849727,OK
1683443983531199,3540512,0.2908482,0.8422018,0.3516425,0.5834056,OK
1683443983540210,3540520,0.2971897,0.8355526,0.3524143,0.5785096,OK
1683443983548721,3540529,0.2998201,0.8171828,0.3574303,0.5639796,OK
